Name,Link,Phone Number,Website,Email
Istanbul Atlas University,https://www.google.com/maps/place/Istanbul+Atlas+University/data=!4m7!3m6!1s0x14cab72b74ed5dd5:0x771c8cf508276827!8m2!3d41.0980536!4d28.9787565!16s%2Fg%2F11fn1h6mjl!19sChIJ1V3tdCu3yhQRJ2gnCPWMHHc?authuser=0&hl=en&rclk=1,444 3 439,http://www.atlas.edu.tr/,info@atlas.edu.tr
Marmara University,https://www.google.com/maps/place/Marmara+University/data=!4m7!3m6!1s0x14cac78eb24e62c3:0xf6aeec48ddd5df7c!8m2!3d40.9870259!4d29.0528132!16zL20vMDJ4cTdo!19sChIJw2JOso7HyhQRfN_V3UjsrvY?authuser=0&hl=en&rclk=1,(0216) 777 07 77,https://www.marmara.edu.tr/,N/A
abc horizon,https://www.google.com/maps/place/abc+horizon/data=!4m7!3m6!1s0x14caba2485545cc1:0x9c39b42c7b74a0c0!8m2!3d41.017121!4d28.943232!16s%2Fg%2F11bwyqhl8f!19sChIJwVxUhSS6yhQRwKB0eyy0OZw?authuser=0&hl=en&rclk=1,(0212) 492 01 16,http://abchorizon.com/,tcstnbl@gmail.com
Pianeta Italia,https://www.google.com/maps/place/Pianeta+Italia/data=!4m7!3m6!1s0x14cab6fefdfaf7c7:0x2bbc06c638c1cbe3!8m2!3d41.06607!4d28.996551!16s%2Fg%2F11c6sr79wp!19sChIJx_f6_f62yhQR48vBOMYGvCs?authuser=0&hl=en&rclk=1,(0212) 347 47 13,http://www.pianeta-italia.com/,N/A
Istanbul Health and Technology University,https://www.google.com/maps/place/Istanbul+Health+and+Technology+University/data=!4m7!3m6!1s0x14cabba389541ebd:0x77aa0f2806492df6!8m2!3d41.0562536!4d28.9510734!16s%2Fg%2F11fvt362ms!19sChIJvR5UiaO7yhQR9i1JBigPqnc?authuser=0&hl=en&rclk=1,444 3 788,https://www.istun.edu.tr/,info@istun.edu.tr
Yıldız Technical University,https://www.google.com/maps/place/Y%C4%B1ld%C4%B1z+Technical+University/data=!4m7!3m6!1s0x14cab7afd662296b:0x838c088492dac437!8m2!3d41.0520861!4d29.0106553!16zL20vMDlfdmZ2!19sChIJayli1q-3yhQRN8TakoQIjIM?authuser=0&hl=en&rclk=1,(0212) 383 70 70,https://www.yildiz.edu.tr/,N/A
Bezmiâlem Foundation University,https://www.google.com/maps/place/Bezmi%C3%A2lem+Foundation+University/data=!4m7!3m6!1s0x14caba28f13a7ee9:0x496757b28048fc2d!8m2!3d41.0188294!4d28.9350771!16s%2Fg%2F1234td7l!19sChIJ6X468Si6yhQRLfxIgLJXZ0k?authuser=0&hl=en&rclk=1,(0212) 523 22 88,https://bezmialem.edu.tr/,info@bezmialem.edu.tr
Galatasaray University,https://www.google.com/maps/place/Galatasaray+University/data=!4m7!3m6!1s0x14cab7b8509b0191:0xa3e5369b89e22040!8m2!3d41.0459897!4d29.0198998!16s%2Fm%2F0283zqx!19sChIJkQGbULi3yhQRQCDiiZs25aM?authuser=0&hl=en&rclk=1,(0212) 227 44 80,https://gsu.edu.tr/,N/A
Istanbul University Faculty of Literature,https://www.google.com/maps/place/Istanbul+University+Faculty+of+Literature/data=!4m7!3m6!1s0x14cab98f19a855e5:0x5042a593e2843774!8m2!3d41.0098563!4d28.9606261!16s%2Fm%2F0vx5vwr!19sChIJ5VWoGY-5yhQRdDeE4pOlQlA?authuser=0&hl=en&rclk=1,(0212) 455 57 00,https://edebiyat.istanbul.edu.tr/tr,edebiyatdekan@istanbul.edu.tr
İstanbul Ticaret University,https://www.google.com/maps/place/%C4%B0stanbul+Ticaret+University/data=!4m7!3m6!1s0x14cab0ca9d029093:0x80ed5371e2d52bd3!8m2!3d41.0576716!4d28.9508252!16s%2Fg%2F12b02mfmw!19sChIJk5ACncqwyhQR0yvV4nFT7YA?authuser=0&hl=en&rclk=1,444 0 413,http://www.istanbulticaret.edu.tr/iletisim.aspx,bilgi@ticaret.edu.tr
İstanbul Üniversitesi Istanbul University Faculty of Political Sciences,https://www.google.com/maps/place/%C4%B0stanbul+%C3%9Cniversitesi+Istanbul+University+Faculty+of+Political+Sciences/data=!4m7!3m6!1s0x14cab9bfb3316b83:0x32685291bd4f9763!8m2!3d41.0106941!4d28.9780917!16s%2Fg%2F11c46j2zbz!19sChIJg2sxs7-5yhQRY5dPvZFSaDI?authuser=0&hl=en&rclk=1,(0212) 440 00 00,http://siyasal.istanbul.edu.tr/,sbfogr@istanbul.edu.tr
Istanbul Kent University Taksim Campus,https://www.google.com/maps/place/Istanbul+Kent+University+Taksim+Campus/data=!4m7!3m6!1s0x14cab76397919f29:0x13d17ef4ccf35582!8m2!3d41.033433!4d28.9840334!16s%2Fg%2F11fctqvxpb!19sChIJKZ-Rl2O3yhQRglXzzPR-0RM?authuser=0&hl=en&rclk=1,(0212) 610 10 10,http://www.kent.edu.tr/,N/A
